label,year,price
광명역유플래닛데시앙,2020,682000000
광명역유플래닛데시앙,2021,921000000
광명역유플래닛데시앙,2022,960000000
광명역유플래닛데시앙,2023,567000000
광명역유플래닛데시앙,2024,721000000
광명역유플래닛데시앙,2025,775000000
광명역유플래닛데시앙,2026,907000000
도화현대홈타운2차,2020,162840000
도화현대홈타운2차,2021,174720000
도화현대홈타운2차,2022,189360000
도화현대홈타운2차,2023,177960000
도화현대홈타운2차,2024,177120000
도화현대홈타운2차,2025,179520000
도화현대홈타운2차,2026,181080000
진천 풍림아이원,2020,14208000
진천 풍림아이원,2021,15120000
진천 풍림아이원,2022,21984000
진천 풍림아이원,2023,20688000
진천 풍림아이원,2024,24924000
진천 풍림아이원,2025,25224000
진천 풍림아이원,2026,25200000
